"alternative.id","review_issue_id","nbr_comments","nbr_comments_nobot"
"10.21105/joss.02752","2752",106,81
"10.21105/joss.02287","2287",51,39
"10.21105/joss.04113","4113",72,41
"10.21105/joss.00577","577",13,8
"10.21105/joss.05153","5153",77,51
"10.21105/joss.00224","224",40,37
"10.21105/joss.01330","1330",46,25
"10.21105/joss.01229","1229",103,84
"10.21105/joss.05467","5467",95,66
"10.21105/joss.00231","231",15,13
"10.21105/joss.01868","1868",46,28
"10.21105/joss.03790","3790",51,28
"10.21105/joss.00320","320",10,8
"10.21105/joss.02472","2472",61,38
"10.21105/joss.03786","3786",55,37
"10.21105/joss.00992","992",25,17
"10.21105/joss.01799","1799",60,34
"10.21105/joss.06215","6215",21,6
"10.21105/joss.00012","12",18,15
"10.21105/joss.02969","2969",77,53
"10.21105/joss.01970","1970",60,37
"10.21105/joss.00718","718",40,29
"10.21105/joss.06110","6110",78,53
"10.21105/joss.04859","4859",50,31
"10.21105/joss.06156","6156",63,39
"10.21105/joss.01182","1182",45,26
"10.21105/joss.01906","1906",85,56
"10.21105/joss.03471","3471",81,42
"10.21105/joss.04077","4077",78,48
"10.21105/joss.02976","2976",85,53
"10.21105/joss.05854","5854",96,71
"10.21105/joss.05766","5766",59,41
"10.21105/joss.05201","5201",128,86
"10.21105/joss.02582","2582",122,74
"10.21105/joss.01935","1935",59,42
"10.21105/joss.02868","2868",69,52
"10.21105/joss.04886","4886",86,54
"10.21105/joss.01244","1244",67,39
"10.21105/joss.05839","5839",125,98
"10.21105/joss.04554","4554",68,42
"10.21105/joss.03764","3764",66,39
"10.21105/joss.02066","2066",45,27
"10.21105/joss.06145","6145",107,70
"10.21105/joss.05478","5478",69,40
"10.21105/joss.02948","2948",72,49
"10.21105/joss.03453","3453",42,22
"10.21105/joss.02181","2181",60,43
"10.21105/joss.01434","1434",114,79
"10.21105/joss.01493","1493",62,44
"10.21105/joss.01544","1544",50,28
"10.21105/joss.04879","4879",93,64
"10.21105/joss.05923","5923",63,40
"10.21105/joss.06383","6383",57,29
"10.21105/joss.06453","6453",90,62
"10.21105/joss.02804","2804",69,43
"10.21105/joss.00767","767",84,57
"10.21105/joss.03323","3323",41,21
"10.21105/joss.03068","3068",62,41
"10.21105/joss.01978","1978",85,56
"10.21105/joss.05995","5995",46,28
"10.21105/joss.03399","3399",51,31
"10.21105/joss.03673","3673",66,35
"10.21105/joss.01012","1012",70,49
"10.21105/joss.02449","2449",62,41
"10.21105/joss.05887","5887",79,53
"10.21105/joss.04910","4910",46,26
"10.21105/joss.04634","4634",54,36
"10.21105/joss.00809","809",39,30
"10.21105/joss.04033","4033",58,36
"10.21105/joss.04133","4133",72,41
"10.21105/joss.02313","2313",107,58
"10.21105/joss.00140","140",15,13
"10.21105/joss.05694","5694",115,75
"10.21105/joss.06611","6611",111,81
"10.21105/joss.05026","5026",70,44
"10.21105/joss.04300","4300",88,66
"10.21105/joss.04164","4164",55,38
"10.21105/joss.04051","4051",66,34
"10.21105/joss.06622","6622",58,33
"10.21105/joss.03888","3888",114,72
"10.21105/joss.00847","847",41,31
"10.21105/joss.01994","1994",59,38
